,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
10/11/2011,0.5,0.572,0.752,0.979,1.2115,1.4195,1.5985,1.7415,1.8625,1.968,2.064,2.1485,2.234,2.291,2.3275,2.3535,2.3735,2.385,2.3895,2.3965,NA,NA,NA,NA,2.3705,NA,NA,NA,NA,2.327
17/06/2011,1.4925,1.647,1.842,2.0775,2.291,2.47,2.6335,2.761,2.861,2.965,3.063,3.153,3.2333,3.3062,3.359,NA,NA,NA,NA,3.48,NA,NA,NA,NA,3.466,NA,NA,NA,NA,3.414
03/06/2011,1.5205,1.784,2.0025,2.219,2.413,2.571,2.702,2.817,2.919,3.012,3.101,3.1835,3.2535,3.318,3.3735,NA,NA,NA,NA,3.4925,NA,NA,NA,NA,3.467,NA,NA,NA,NA,3.399
31/01/2011,1.159,1.57,1.904,2.1685,2.3975,2.5785,2.7275,2.8545,2.9625,3.0605,3.1545,3.2405,3.3136,3.3779,3.4235,NA,NA,NA,NA,3.5275,NA,NA,NA,NA,3.4875,NA,NA,NA,NA,3.398
20/06/2011,1.494,1.65,1.849,2.088,2.2985,2.477,2.627,2.756,2.869,2.972,3.0705,3.163,3.2502,3.323,3.372,NA,NA,NA,NA,3.497,NA,NA,NA,NA,3.484,NA,NA,NA,NA,3.436
20/10/2010,0.956,1.109,1.277,1.476,1.676,1.86,2.026,2.17,2.289,2.395,2.492,2.579,2.655,2.7095,2.752,NA,NA,NA,NA,2.854,NA,NA,NA,NA,2.815,NA,NA,NA,NA,2.71
15/11/2011,0.457,0.535,0.719,1.065,1.296,1.43,1.677,1.819,1.935,2.035,2.128,2.212,2.284,2.339,2.38,2.394,2.414,2.424,2.427,2.432,NA,NA,NA,NA,2.392,NA,NA,NA,NA,2.345
26/05/2010,0.524,0.705,0.953,1.2375,1.5185,1.78,1.994,2.176,2.327,2.454,2.563,2.653,2.7235,2.781,2.829,NA,NA,NA,NA,2.902,NA,NA,NA,NA,2.855,NA,NA,NA,NA,2.755
16/12/2011,0.448,0.49,0.66,0.917,1.175,1.397,1.581,1.724,1.84,1.942,2.033,2.11,2.167,2.213,2.242,2.2725,2.285,2.289,2.289,2.277,NA,NA,NA,NA,2.24,NA,NA,NA,NA,2.175
07/04/2010,0.641,0.992,1.34,1.6785,1.9455,2.212,2.423,2.601,2.749,2.877,2.989,3.087,3.1765,3.245,3.294,NA,NA,NA,NA,3.435,NA,NA,NA,NA,3.413,NA,NA,NA,NA,3.337
27/08/2010,0.625,0.761,0.918,1.131,1.324,1.504,1.659,1.795,1.913,2.017,2.106,2.182,2.247,2.2995,2.336,NA,NA,NA,NA,2.451,NA,NA,NA,NA,2.442,NA,NA,NA,NA,2.358
25/06/2010,0.614,0.784,1.049,1.307,1.576,1.815,2.02,2.193,2.337,2.465,2.582,2.683,2.768,2.836,2.891,NA,NA,NA,NA,3.027,NA,NA,NA,NA,3.006,NA,NA,NA,NA,2.925
14/06/2010,0.518,0.704,0.973,1.259,1.531,1.779,1.987,2.165,2.312,2.438,2.55,2.648,2.758,2.825,2.841,NA,NA,NA,NA,2.948,NA,NA,NA,NA,2.92,NA,NA,NA,NA,2.827
05/08/2011,1.018,1.092,1.357,1.5995,1.881,2.1115,2.3035,2.465,2.602,2.7265,2.8355,2.9335,2.9417,3.0117,3.1355,NA,NA,NA,NA,3.2115,NA,NA,NA,NA,3.1605,NA,NA,NA,NA,3.0955
02/12/2011,0.45,0.532,0.756,1.016,1.285,1.547,1.749,1.911,2.045,2.155,2.218,2.36,2.385,2.449,2.54,2.594,2.609,2.615,2.616,2.591,NA,NA,NA,NA,2.549,NA,NA,NA,NA,2.458
06/08/2010,0.7605,0.934,1.142,1.371,1.597,1.808,1.993,2.149,2.283,2.402,2.51,2.608,2.691,2.7615,2.817,NA,NA,NA,NA,2.964,NA,NA,NA,NA,2.946,NA,NA,NA,NA,2.867
06/04/2011,1.496,1.966,2.2955,2.536,2.735,2.9,3.036,3.153,3.252,3.344,3.429,3.509,3.5834,3.646,3.686,NA,NA,NA,NA,3.789,NA,NA,NA,NA,3.76,NA,NA,NA,NA,3.682
20/07/2010,0.741,0.914,1.144,1.408,1.653,1.874,2.064,2.228,2.366,2.488,2.6,2.701,2.778,2.8465,2.91,NA,NA,NA,NA,3.0525,NA,NA,NA,NA,3.035,NA,NA,NA,NA,2.959
16/07/2010,0.752,0.922,1.152,1.394,1.634,1.85,2.041,2.202,2.339,2.459,2.571,2.671,2.749,2.8175,2.878,NA,NA,NA,NA,3.016,NA,NA,NA,NA,2.998,NA,NA,NA,NA,2.918
21/12/2010,0.881,1.2,1.5205,1.813,2.076,2.301,2.4925,2.6495,2.783,2.901,3.009,3.107,3.1658,3.2576,3.302,NA,NA,NA,NA,3.391,NA,NA,NA,NA,3.328,NA,NA,NA,NA,3.222
17/10/2011,0.696,0.776,0.98,1.2085,1.4435,1.649,1.8205,1.959,2.0735,2.176,2.272,2.3565,2.4361,2.4944,2.531,NA,NA,NA,NA,2.602,NA,NA,NA,NA,2.569,NA,NA,NA,NA,2.523
02/03/2011,1.2375,1.651,1.9595,2.188,2.398,2.5755,2.7255,2.8505,2.9585,3.0555,3.1445,3.2295,3.3097,3.368,3.4105,NA,NA,NA,NA,3.5115,NA,NA,NA,NA,3.4775,NA,NA,NA,NA,3.3925
27/10/2011,0.743,0.859,1.059,1.283,1.513,1.716,1.8905,2.0305,2.1485,2.2535,2.3505,2.4405,2.5021,2.5635,2.6265,NA,NA,NA,NA,2.7105,NA,NA,NA,NA,2.6955,NA,NA,NA,NA,2.6615
14/11/2011,0.465,0.541,0.715,0.9465,1.187,1.401,1.58,1.726,1.8465,1.953,2.0505,2.1375,2.233,2.289,2.319,2.3595,2.381,2.393,2.398,2.392,NA,NA,NA,NA,2.3655,NA,NA,NA,NA,2.322
20/09/2010,0.737,0.951,1.162,1.382,1.599,1.797,1.977,2.133,2.263,2.376,2.476,2.564,2.643,2.7015,2.737,NA,NA,NA,NA,2.849,NA,NA,NA,NA,2.835,NA,NA,NA,NA,2.748
03/05/2011,1.6355,2.021,2.2795,2.508,2.6785,2.8235,2.9465,3.0505,3.142,3.2265,3.308,3.384,3.4613,3.5179,3.5565,NA,NA,NA,NA,3.6545,NA,NA,NA,NA,3.6225,NA,NA,NA,NA,3.5475
31/05/2010,0.5345,0.747,1.011,1.305,1.581,1.821,2.025,2.199,2.342,2.464,2.572,2.666,2.748,2.811,2.852,NA,NA,NA,NA,2.945,NA,NA,NA,NA,2.903,NA,NA,NA,NA,2.807
16/08/2010,0.617,0.748,0.939,1.168,1.388,1.588,1.76,1.912,2.04,2.153,2.256,2.348,2.433,2.4975,2.539,NA,NA,NA,NA,2.672,NA,NA,NA,NA,2.656,NA,NA,NA,NA,2.576
02/08/2011,1.2115,1.249,1.4015,1.6795,1.905,2.1115,2.2905,2.441,2.5685,2.686,2.791,2.887,2.9655,3.0296,3.083,NA,NA,NA,NA,3.163,NA,NA,NA,NA,3.111,NA,NA,NA,NA,3.0475
10/10/2011,0.752,0.836,1.025,1.256,1.493,1.6925,1.857,1.991,2.103,2.204,2.2965,2.378,2.4427,2.5007,2.553,NA,NA,NA,NA,2.617,NA,NA,NA,NA,2.5765,NA,NA,NA,NA,2.53
13/01/2012,0.312,0.35,0.499,0.712,0.951,1.169,1.356,1.508,1.639,1.753,1.858,1.946,2.02,2.08,2.122,2.155,2.174,2.1835,2.1865,2.178,NA,NA,NA,NA,2.139,NA,NA,NA,NA,2.088
13/07/2010,0.717,0.889,1.099,1.364,1.607,1.831,2.03,2.196,2.338,2.461,2.574,2.673,2.76,2.8255,2.876,NA,NA,NA,NA,3.012,NA,NA,NA,NA,2.994,NA,NA,NA,NA,2.913
01/04/2010,0.657,1.005,1.355,1.6465,1.9215,2.188,2.4,2.579,2.726,2.852,2.966,3.064,3.1515,3.218,3.271,NA,NA,NA,NA,3.415,NA,NA,NA,NA,3.395,NA,NA,NA,NA,3.319
14/01/2011,0.9555,1.317,1.6445,1.924,2.1665,2.368,2.537,2.678,2.799,2.908,3.007,3.099,3.1564,3.2185,3.287,NA,NA,NA,NA,3.391,NA,NA,NA,NA,3.359,NA,NA,NA,NA,3.272
30/09/2011,0.661,0.741,0.927,1.1485,1.384,1.5805,1.7415,1.873,1.9795,2.075,2.163,2.245,2.3073,2.3653,2.411,NA,NA,NA,NA,2.488,NA,NA,NA,NA,2.457,NA,NA,NA,NA,2.419
30/12/2011,0.369,0.467,0.632,0.831,1.072,1.303,1.496,1.65,1.779,1.898,1.987,2.065,2.124,2.167,2.202,2.298,2.317,2.3285,2.333,2.292,NA,NA,NA,NA,2.298,NA,NA,NA,NA,2.173
09/01/2012,0.3335,0.383,0.546,0.827,1.053,1.312,1.503,1.655,1.786,1.902,2.01,2.096,2.168,2.224,2.265,2.282,2.3,2.309,2.311,2.315,NA,NA,NA,NA,2.263,NA,NA,NA,NA,2.209
11/10/2010,0.82,0.939,1.104,1.306,1.505,1.694,1.86,2.006,2.13,2.238,2.335,2.419,2.481,2.5365,2.591,NA,NA,NA,NA,2.704,NA,NA,NA,NA,2.671,NA,NA,NA,NA,2.568
28/11/2011,0.498,0.623,0.865,1.095,1.364,1.585,1.766,1.911,2.039,2.15,2.248,2.338,2.415,2.478,2.523,2.569,2.5865,2.595,2.595,2.584,NA,NA,NA,NA,2.537,NA,NA,NA,NA,2.474
28/05/2010,0.5435,0.737,1.0055,1.2905,1.5665,1.806,2.011,2.184,2.331,2.454,2.562,2.656,2.758,2.82,2.841,NA,NA,NA,NA,2.93,NA,NA,NA,NA,2.891,NA,NA,NA,NA,2.796
22/09/2010,0.701,0.874,1.077,1.291,1.502,1.697,1.872,2.023,2.152,2.264,2.366,2.457,2.538,2.5985,2.639,NA,NA,NA,NA,2.763,NA,NA,NA,NA,2.747,NA,NA,NA,NA,2.663
05/04/2010,0.655,1.044,1.3425,1.661,1.941,2.188,2.4,2.579,2.726,2.852,2.966,3.064,3.1515,3.218,3.271,NA,NA,NA,NA,3.415,NA,NA,NA,NA,3.395,NA,NA,NA,NA,3.319
16/06/2010,0.528,0.709,0.976,1.256,1.5325,1.808,2.022,2.199,2.348,2.477,2.59,2.688,2.777,2.8425,2.882,NA,NA,NA,NA,2.999,NA,NA,NA,NA,2.975,NA,NA,NA,NA,2.887
07/09/2011,0.665,0.721,0.927,1.187,1.443,1.662,1.842,1.9895,2.1175,2.2325,2.3395,2.438,2.5264,2.5956,2.65,NA,NA,NA,NA,2.766,NA,NA,NA,NA,2.7455,NA,NA,NA,NA,2.696
08/11/2011,0.556,0.64,0.817,0.9915,1.2225,1.4365,1.6245,1.7745,1.9015,2.0135,2.1145,2.2025,2.361,2.42,2.3835,2.5055,2.529,2.542,2.551,2.464,NA,NA,NA,NA,2.4515,NA,NA,NA,NA,2.4155
10/03/2011,1.384,1.806,2.0885,2.3475,2.5445,2.703,2.837,2.95,3.048,3.137,3.22,3.297,3.3627,3.421,3.47,NA,NA,NA,NA,3.574,NA,NA,NA,NA,3.542,NA,NA,NA,NA,3.46
23/11/2011,0.5125,0.618,0.8175,1.058,1.315,1.529,1.705,1.849,1.972,2.081,2.177,2.264,2.338,2.398,2.44,2.4985,2.516,2.5245,2.525,2.495,NA,NA,NA,NA,2.465,NA,NA,NA,NA,2.388
17/02/2011,1.119,1.509,1.8245,2.0995,2.333,2.5275,2.6895,2.826,2.9425,3.045,3.141,3.228,3.3032,3.3665,3.413,NA,NA,NA,NA,3.521,NA,NA,NA,NA,3.488,NA,NA,NA,NA,3.405
03/09/2010,0.625,0.8,1.006,1.237,1.462,1.658,1.833,1.986,2.115,2.225,2.321,2.406,2.474,2.5315,2.572,NA,NA,NA,NA,2.689,NA,NA,NA,NA,2.69,NA,NA,NA,NA,2.616
26/07/2010,0.742,0.963,1.198,1.495,1.747,1.973,2.171,2.338,2.477,2.601,2.714,2.815,2.899,2.9685,3.021,NA,NA,NA,NA,3.168,NA,NA,NA,NA,3.148,NA,NA,NA,NA,3.067
